Datum,Rubrik,Beskrivning,Plats,Länk
2024-10-02 10:21:01 +02:00,"02 oktober 04.59, Stöld, Stockholms län",Tre män grips misstänkta för att ha stulit en Range Rover.,Stockholms län,/aktuellt/handelser/2024/oktober/2/02-oktober-04.59-stold-stockholms-lan/
2024-10-02 8:22:09 +02:00,"02 oktober 03.31, Stöld/inbrott, Stockholm",Larm om inbrott i företagslokal i Johanneshov.,Stockholm,/aktuellt/handelser/2024/oktober/2/02-oktober-03.31-stoldinbrott-stockholm/
2024-10-02 7:18:33 +02:00,"02 oktober 01.34, Ofredande/förargelse, Stockholm",Två män beter sig aggressivt vid Gullmarsplans tunnelbanestation.,Stockholm,/aktuellt/handelser/2024/oktober/2/02-oktober-01.34-ofredandeforargelse-stockholm/
2024-10-02 1:07:59 +02:00,"01 oktober 23.42, Mord/dråp, försök, Stockholm",Polisen får samtal om att smällar hörts i ett bostadshus i Bandhagen.,Stockholm,/aktuellt/handelser/2024/oktober/1/01-oktober-23.42-morddrap-forsok-stockholm/
2024-10-01 23:33:46 +02:00,"01 oktober 17.55, Vapenlagen, Stockholm",Polisen får samtal om att en smäll hörts på Strandvägen.,Stockholm,/aktuellt/handelser/2024/oktober/1/01-oktober-17.55-vapenlagen-stockholm/
2024-10-01 8:47:10 +02:00,"01 oktober 00.59, Brand, Stockholm",Villabrand i Trångsund.,Stockholm,/aktuellt/handelser/2024/oktober/1/01-oktober-00.59-brand-stockholm/
2024-10-01 8:47:06 +02:00,"01 oktober 01.37, Larm Inbrott, Stockholm",Larm om pågående inbrott i Södra Hammarbyhamnen.,Stockholm,/aktuellt/handelser/2024/oktober/1/01-oktober-01.37-larm-inbrott-stockholm/
2024-10-01 8:47:02 +02:00,"01 oktober 06.34, Trafikolycka, personskada, Stockholm",Cyklist påkörd.,Stockholm,/aktuellt/handelser/2024/oktober/1/01-oktober-06.34-trafikolycka-personskada-stockholm/
2024-10-01 7:48:21 +02:00,"01 oktober 03.54, Explosion, Stockholm",Någonting exploderar vid en port i Dalen.,Stockholm,/aktuellt/handelser/2024/oktober/1/01-oktober-03.54-explosion-stockholm/
2024-09-30 12:01:48 +02:00,"30 september 11.13, Olaga intrång, Stockholm",En person krossar fönster på en ambassad.,Stockholm,/aktuellt/handelser/2024/september/30/30-september-11.13-olaga-intrang-stockholm/
