Datum,Rubrik,Beskrivning,Plats,Länk
2024-10-07T13:59:11+02:00,"07 oktober 11.58, Brand, Alingsås",SOS larmas om en brand i ett flerfamiljshus i Vårgårda.,Alingsås,/aktuellt/handelser/2024/oktober/7/07-oktober-11.58-brand-alingsas/
2024-10-07T13:50:27+02:00,"07 oktober 13.50, Trafikkontroll, Västerbottens län",Urval av polisens arbete i trafiken – en del av polisens nationella trafikvecka,Västerbottens län,/aktuellt/handelser/2024/oktober/7/07-oktober-13.50-trafikkontroll-vasterbottens-lan/
2024-10-07T13:50:09+02:00,"07 oktober 13.50, Trafikkontroll, Västernorrlands län",Urval av polisens arbete i trafiken – en del av polisens nationella trafikvecka,Västernorrlands län,/aktuellt/handelser/2024/oktober/7/07-oktober-13.50-trafikkontroll-vasternorrlands-lan/
2024-10-07T13:49:40+02:00,"07 oktober 13.49, Trafikkontroll, Norrbottens län",Urval av polisens arbete i trafiken – en del av polisens nationella trafikvecka,Norrbottens län,/aktuellt/handelser/2024/oktober/7/07-oktober-13.49-trafikkontroll-norrbottens-lan/
2024-10-07T13:42:13+02:00,"07 oktober 13.42, Trafikkontroll, Jämtlands län",Urval av polisens arbete i trafiken – en del av polisens nationella trafikvecka,Jämtlands län,/aktuellt/handelser/2024/oktober/7/07-oktober-13.42-trafikkontroll-jamtlands-lan/
2024-10-07T13:37:59+02:00,"07 oktober 12.43, Misshandel, Sundsvall",Polispatrull beordras till ett statligt servicecenter med anledning av ett överfallslarm.,Sundsvall,/aktuellt/handelser/2024/oktober/7/07-oktober-12.43-misshandel-sundsvall/
2024-10-07T13:37:12+02:00,"07 oktober 11.14, Brand, Enköping",Brand i soptunna på skola.,Enköping,/aktuellt/handelser/2024/oktober/7/07-oktober-11.14-brand-enkoping/
2024-10-07T13:30:47+02:00,"07 oktober 13.00, Trafikolycka, vilt, Nordmaling",Polisen får in en anmälan om en viltolycka på väg 353 mellan Nordmaling och Bjurholm.,Nordmaling,/aktuellt/handelser/2024/oktober/7/07-oktober-13.00-trafikolycka-vilt-nordmaling/
2024-10-07T13:25:44+02:00,"07 oktober 08.06, Arbetsplatsolycka, Umeå","Larm om olycka på arbetsplats, Böleäng.",Umeå,/aktuellt/handelser/2024/oktober/7/07-oktober-08.06-arbetsplatsolycka-umea/
2024-10-07T12:54:17+02:00,"07 oktober 11.31, Försvunnen person, Tierp",Försvunnen man i 80-årsåldern.,Tierp,/aktuellt/handelser/2024/oktober/7/07-oktober-11.31-forsvunnen-person-tierp/
2024-10-07T12:52:42+02:00,"07 oktober 12.48, Våldtäkt, Karlstad",Två män frihetsberövande misstänkta för våldtäkt.,Karlstad,/aktuellt/handelser/2024/oktober/7/07-oktober-12.48-valdtakt-karlstad/
2024-10-07T12:52:37+02:00,"07 oktober 10.42, Trafikbrott, Södertälje",Två personbilar krockade på Nyköpingsvägen i Södertälje. En anmälan upprättas om vårdslöshet i trafik samt vål,Södertälje,/aktuellt/handelser/2024/oktober/7/07-oktober-10.42-trafikbrott-sodertalje/
2024-10-07T12:48:09+02:00,"07 oktober 12.45, Stöld/inbrott, Sunne",En stöld genom inbrott har inträffat i Sunne kommun.,Sunne,/aktuellt/handelser/2024/oktober/7/07-oktober-12.45-stoldinbrott-sunne/
2024-10-07T12:28:04+02:00,"07 oktober 12.30, Övrigt, Ludvika",Polis har genomfört en utredningsåtgärd i Grängesberg under dagen.,Ludvika,/aktuellt/handelser/2024/oktober/7/07-oktober-12.30-ovrigt-ludvika/
2024-10-07T06:08:21+02:00,"07 oktober 04.42, Skottlossning, Malmö",En person skjuten. Allvarligt skadad,Malmö,/aktuellt/handelser/2024/oktober/7/07-oktober-04.42-skottlossning-malmo/
2024-10-06T17:04:37+02:00,"06 oktober 17.00, Mord/dråp, försök, Kungsbacka","Med anledning av mordförsöket i Kungsmässan, Kungsbacka kommer vi ha en presstalesperson på plats ca kl 17:45.",Kungsbacka,/aktuellt/handelser/2024/oktober/6/06-oktober-17.00-morddrap-forsok-kungsbacka/
2024-10-07T11:56:34+02:00,"07 oktober 11.52, Rattfylleri, Karlstad",Misstanke om rattfylleri under påverkan av narkotika.,Karlstad,/aktuellt/handelser/2024/oktober/7/07-oktober-11.52-rattfylleri-karlstad/
2024-10-07T11:30:00+02:00,"07 oktober 08.17, Trafikolycka, Falun",Kollision mellan två trafikanter inträffade i morse i Falun.,Falun,/aktuellt/handelser/2024/oktober/7/07-oktober-08.17-trafikolycka-falun/
2024-10-07T11:21:51+02:00,"07 oktober 07.17, Stöld/inbrott, Uppsala",Stöld genom inbrott.,Uppsala,/aktuellt/handelser/2024/oktober/7/07-oktober-07.17-stoldinbrott-uppsala/
2024-10-07T11:12:50+02:00,"07 oktober 10.49, Trafikolycka, vilt, Härjedalen","Polisen får in en anmälan om en viltolycka på E45/riksväg 84, Sveg.",Härjedalen,/aktuellt/handelser/2024/oktober/7/07-oktober-10.49-trafikolycka-vilt-harjedalen/
2024-10-07T10:56:30+02:00,"07 oktober 08.37, Arbetsplatsolycka, Luleå","Larm om olycka på arbetsplats, Svartön.",Luleå,/aktuellt/handelser/2024/oktober/7/07-oktober-08.37-arbetsplatsolycka-lulea/
2024-10-07T10:53:42+02:00,"07 oktober 08.53, Arbetsplatsolycka, Västerås",Hantverkare föll från byggnadsställning.,Västerås,/aktuellt/handelser/2024/oktober/7/07-oktober-08.53-arbetsplatsolycka-vasteras/
2024-10-06T12:03:09+02:00,"06 oktober 12.02, Våldtäkt, Umeå",Under natten mot söndag fick polisen kännedom om en misstänkt våldtäkt,Umeå,/aktuellt/handelser/2024/oktober/6/06-oktober-12.02-valdtakt-umea/
2024-10-07T08:45:10+02:00,"07 oktober 07.54, Trafikolycka, Göteborg",På Renströmsgatan inträffar en olycka mellan en personbil och en cyklist.,Göteborg,/aktuellt/handelser/2024/oktober/7/07-oktober-07.54-trafikolycka-goteborg/
2024-10-07T09:59:12+02:00,"07 oktober 01.35, Stöld, Uppsala",Stöld av drivmedel ur fordon.,Uppsala,/aktuellt/handelser/2024/oktober/7/07-oktober-01.35-stold-uppsala/
2024-10-07T09:10:06+02:00,"07 oktober 09.10, Rattfylleri, Kristinehamn",Patrull har stoppat en misstänkt rattfyllerist.,Kristinehamn,/aktuellt/handelser/2024/oktober/7/07-oktober-09.10-rattfylleri-kristinehamn/
2024-10-07T07:51:26+02:00,"07 oktober 07.51, Sammanfattning natt, Södermanlands län",Här följer en kort sammanfattning från nattens händelser.,Södermanlands län,/aktuellt/handelser/2024/oktober/7/07-oktober-07.51-sammanfattning-natt-sodermanlands-lan/
2024-10-07T07:51:16+02:00,"07 oktober 07.51, Sammanfattning natt, Östergötlands län",Här följer en kort sammanfattning från nattens händelser.,Östergötlands län,/aktuellt/handelser/2024/oktober/7/07-oktober-07.51-sammanfattning-natt-ostergotlands-lan/
2024-10-07T07:51:08+02:00,"07 oktober 07.51, Sammanfattning natt, Jönköpings län",Här följer en kort sammanfattning från nattens händelser.,Jönköpings län,/aktuellt/handelser/2024/oktober/7/07-oktober-07.51-sammanfattning-natt-jonkopings-lan/
2024-10-07T07:30:00+02:00,"07 oktober 00.45, Narkotikabrott, Stockholm",Två män i Solhem medtogs för kroppsbesiktning efter att de blivit misstänkta för ringa narkotikabrott eget bru,Stockholm,/aktuellt/handelser/2024/oktober/7/07-oktober-00.45-narkotikabrott-stockholm/
2024-10-07T07:24:49+02:00,"07 oktober 05.22, Stöld, försök, Stockholm",En inringare hörde av sig angående att en man försökt skruva loss en lampa till inringarens bil.,Stockholm,/aktuellt/handelser/2024/oktober/7/07-oktober-05.22-stold-forsok-stockholm/
2024-10-07T07:24:30+02:00,"07 oktober 07.24, Sammanfattning natt, Norrbottens län",Ett urval av nattens polisverksamhet 22.00-07.00.,Norrbottens län,/aktuellt/handelser/2024/oktober/7/07-oktober-07.24-sammanfattning-natt-norrbottens-lan/
2024-10-07T07:24:16+02:00,"07 oktober 07.24, Sammanfattning natt, Västerbottens län",Ett urval av nattens polisverksamhet 22.00-07.00.,Västerbottens län,/aktuellt/handelser/2024/oktober/7/07-oktober-07.24-sammanfattning-natt-vasterbottens-lan/
2024-10-07T07:23:53+02:00,"07 oktober 07.23, Sammanfattning natt, Västernorrlands län",Ett urval av nattens polisverksamhet 22.00-07.00.,Västernorrlands län,/aktuellt/handelser/2024/oktober/7/07-oktober-07.23-sammanfattning-natt-vasternorrlands-lan/
2024-10-07T07:23:37+02:00,"07 oktober 07.23, Sammanfattning natt, Jämtlands län",Ett urval av nattens polisverksamhet 22.00-07.00.,Jämtlands län,/aktuellt/handelser/2024/oktober/7/07-oktober-07.23-sammanfattning-natt-jamtlands-lan/
2024-10-07T06:42:35+02:00,"07 oktober 06.42, Sammanfattning natt, Värmlands län",Det har varit en lugn natt ur polisiär synvinkel i polisområde Värmland.,Värmlands län,/aktuellt/handelser/2024/oktober/7/07-oktober-06.42-sammanfattning-natt-varmlands-lan/
2024-10-07T06:55:38+02:00,"07 oktober 06.55, Sammanfattning kväll och natt, Hallands län",Dagens presstalesperson är på plats.,Hallands län,/aktuellt/handelser/2024/oktober/7/07-oktober-06.55-sammanfattning-kvall-och-natt-hallands-lan/
2024-10-07T06:51:15+02:00,"07 oktober 06.51, Sammanfattning kväll och natt, Västra Götalands län",Dagens presstalesperson är på plats.,Västra Götalands län,/aktuellt/handelser/2024/oktober/7/07-oktober-06.51-sammanfattning-kvall-och-natt-vastra-gotalands-lan/
2024-10-07T06:42:48+02:00,"07 oktober 06.42, Sammanfattning natt, Örebro län",Nedan följer ett urval av nattens händelser i polisområde Örebro,Örebro län,/aktuellt/handelser/2024/oktober/7/07-oktober-06.42-sammanfattning-natt-orebro-lan/
2024-10-07T06:42:38+02:00,"07 oktober 06.42, Sammanfattning natt, Dalarnas län",Det har varit en lugn natt ur polisiär synvinkel i polisområde Dalarna.,Dalarnas län,/aktuellt/handelser/2024/oktober/7/07-oktober-06.42-sammanfattning-natt-dalarnas-lan/
2024-10-07T06:42:10+02:00,"07 oktober 04.48, Brand, Bromölla",Brand i häck på Valjevägen.,Bromölla,/aktuellt/handelser/2024/oktober/7/07-oktober-04.48-brand-bromolla/
2024-10-06T22:02:22+02:00,"06 oktober 22.00, Övrigt, Västra Götalands län",Efter klockan 22:00 finns ingen presstalesperson i tjänst. Frågor från media besvaras av vakthavande befäl i m,Västra Götalands län,/aktuellt/handelser/2024/oktober/6/06-oktober-22.00-ovrigt-vastra-gotalands-lan/
2024-10-06T22:02:15+02:00,"06 oktober 22.00, Övrigt, Hallands län",Efter klockan 22:00 finns ingen presstalesperson i tjänst. Frågor från media besvaras av vakthavande befäl i m,Hallands län,/aktuellt/handelser/2024/oktober/6/06-oktober-22.00-ovrigt-hallands-lan/
2024-10-06T20:19:14+02:00,"06 oktober 17.30, Misshandel, Kristianstad",Slag mot ansikte,Kristianstad,/aktuellt/handelser/2024/oktober/6/06-oktober-17.30-misshandel-kristianstad/
2024-10-06T19:48:04+02:00,"06 oktober 19.34, Trafikolycka, Helsingborg","Bil i dike, Ödåkra",Helsingborg,/aktuellt/handelser/2024/oktober/6/06-oktober-19.34-trafikolycka-helsingborg/
2024-10-06T19:20:18+02:00,"06 oktober 19.10, Brand, Landskrona",Två bilar i brand,Landskrona,/aktuellt/handelser/2024/oktober/6/06-oktober-19.10-brand-landskrona/
2024-10-06T18:46:15+02:00,"06 oktober 14.43, Trafikolycka, Kristianstad",Sidokollision,Kristianstad,/aktuellt/handelser/2024/oktober/6/06-oktober-14.43-trafikolycka-kristianstad/
2024-10-06T18:01:56+02:00,"06 oktober 17.10, Skadegörelse, Malmö","Repade bilar, Limhamn",Malmö,/aktuellt/handelser/2024/oktober/6/06-oktober-17.10-skadegorelse-malmo/
2024-10-06T15:03:59+02:00,"06 oktober 14.27, Försvunnen person, Burlöv",Försvunnen flicka,Burlöv,/aktuellt/handelser/2024/oktober/6/06-oktober-14.27-forsvunnen-person-burlov/
2024-10-06T15:07:02+02:00,"06 oktober 15.05, Övrigt, Eskilstuna",Smällar i Eskilstuna var fyrverkerier,Eskilstuna,/aktuellt/handelser/2024/oktober/6/06-oktober-15.05-ovrigt-eskilstuna/
2024-10-06T14:53:06+02:00,"06 oktober 14.27, Trafikbrott, Norsjö","Centrala Norsjö, polisen kontrollerar en personbil",Norsjö,/aktuellt/handelser/2024/oktober/6/06-oktober-14.27-trafikbrott-norsjo/
2024-10-06T13:52:53+02:00,"06 oktober 12.46, Mord/dråp, försök, Kristianstad","Kvinna gripen, Kristianstad.",Kristianstad,/aktuellt/handelser/2024/oktober/6/06-oktober-12.46-morddrap-forsok-kristianstad/
2024-10-06T13:26:21+02:00,"06 oktober 13.22, Trafikkontroll, Härnösand",Ett urval av polisens arbete i trafiken under dagen,Härnösand,/aktuellt/handelser/2024/oktober/6/06-oktober-13.22-trafikkontroll-harnosand/
2024-10-06T13:19:19+02:00,"06 oktober 13.05, Trafikolycka, Örebro",En singelolycka har inträffat på länsväg 752 efter Lundby.,Örebro,/aktuellt/handelser/2024/oktober/6/06-oktober-13.05-trafikolycka-orebro/
2024-10-06T13:18:16+02:00,"06 oktober 10.28, Stöld/inbrott, Luleå","Skurholmen, en man upptäcker att någon har brutit sig in i hans förråd",Luleå,/aktuellt/handelser/2024/oktober/6/06-oktober-10.28-stoldinbrott-lulea/
2024-10-06T12:41:25+02:00,"06 oktober 11.37, Trafikkontroll, Gällivare","Kirunagatan, Koskullskulle, polisen kontrollerar trafiken",Gällivare,/aktuellt/handelser/2024/oktober/6/06-oktober-11.37-trafikkontroll-gallivare/
2024-10-06T12:31:49+02:00,"06 oktober 11.02, Rattfylleri, Örnsköldsvik","Baldersvägen, vid en trafikkontroll blåser en man positivt i polisens sållningsinstrument",Örnsköldsvik,/aktuellt/handelser/2024/oktober/6/06-oktober-11.02-rattfylleri-ornskoldsvik/
2024-10-06T12:29:40+02:00,"06 oktober 10.04, Trafikkontroll, Sorsele","Strandvägen, polisen kontrollerar nykterhet",Sorsele,/aktuellt/handelser/2024/oktober/6/06-oktober-10.04-trafikkontroll-sorsele/
2024-10-06T12:26:11+02:00,"06 oktober 09.20, Trafikbrott, Kalix","E10, Morjärv. Polisen kontrollerar en lastbil",Kalix,/aktuellt/handelser/2024/oktober/6/06-oktober-09.20-trafikbrott-kalix/
2024-10-06T12:08:37+02:00,"06 oktober 11.36, Brand, Solna",Larm kommer om att en bil brinner i ett garage vid en större galleria i Solna. Branden ska vara släckt men det,Solna,/aktuellt/handelser/2024/oktober/6/06-oktober-11.36-brand-solna/
2024-10-06T12:03:49+02:00,"06 oktober 09.18, Djur, Södertälje",En markägare har träffat på/blivit jagad av en skadad och enligt uppgift aggressiv älg på sin mark och har skj,Södertälje,/aktuellt/handelser/2024/oktober/6/06-oktober-09.18-djur-sodertalje/
2024-10-06T10:42:02+02:00,"06 oktober 08.10, Stöld/inbrott, Sundsvall","Njurunda, polisen kontaktas angående inbrott i förråd",Sundsvall,/aktuellt/handelser/2024/oktober/6/06-oktober-08.10-stoldinbrott-sundsvall/
2024-10-06T09:50:25+02:00,"06 oktober 06.03, Våldtäkt, Stockholm",En man misstänks ha utsatt en kvinna för en våldtäkt i en hytt på en båt. Den misstänkte är gripen.,Stockholm,/aktuellt/handelser/2024/oktober/6/06-oktober-06.03-valdtakt-stockholm/
2024-10-06T08:35:47+02:00,"06 oktober 08.35, Sammanfattning natt, Dalarnas län",Nedan följer en sammanfattning av nattens händelser.,Dalarnas län,/aktuellt/handelser/2024/oktober/6/06-oktober-08.35-sammanfattning-natt-dalarnas-lan/
2024-10-05T23:52:34+02:00,"05 oktober 22.22, Explosion, Stockholm",En explosion har skett i ett trapphus i Tensta.,Stockholm,/aktuellt/handelser/2024/oktober/5/05-oktober-22.22-explosion-stockholm/
2024-10-06T09:11:53+02:00,"06 oktober 08.30, Misshandel, Vänersborg",Vid Järnvägsbacken är det en busschaufför som blir misshandlad av en manlig resenär.,Vänersborg,/aktuellt/handelser/2024/oktober/6/06-oktober-08.30-misshandel-vanersborg/
2024-10-06T09:07:28+02:00,"06 oktober 01.50, Brand, Ovanåker",Brand i byggnad.,Ovanåker,/aktuellt/handelser/2024/oktober/6/06-oktober-01.50-brand-ovanaker/
2024-10-06T08:36:24+02:00,"06 oktober 08.35, Sammanfattning natt, Värmlands län",Nedan följer en sammanfattning av nattens händelser.,Värmlands län,/aktuellt/handelser/2024/oktober/6/06-oktober-08.35-sammanfattning-natt-varmlands-lan/
2024-10-06T08:34:33+02:00,"06 oktober 08.35, Sammanfattning natt, Örebro län",Nedan följer en sammanfattning av nattens händelser.,Örebro län,/aktuellt/handelser/2024/oktober/6/06-oktober-08.35-sammanfattning-natt-orebro-lan/
2024-10-06T08:06:40+02:00,"06 oktober 08.05, Sammanfattning natt, Norrbottens län",Ett urval av polisens arbete klockan 22:00 – 07:00,Norrbottens län,/aktuellt/handelser/2024/oktober/6/06-oktober-08.05-sammanfattning-natt-norrbottens-lan/
2024-10-06T08:05:03+02:00,"06 oktober 08.03, Sammanfattning natt, Västerbottens län",Ett urval av polisens arbete klockan 22:00 – 07:00,Västerbottens län,/aktuellt/handelser/2024/oktober/6/06-oktober-08.03-sammanfattning-natt-vasterbottens-lan/
2024-10-06T08:03:57+02:00,"06 oktober 08.02, Sammanfattning natt, Västernorrlands län",Ett urval av polisens arbete klockan 22:00 – 07:00,Västernorrlands län,/aktuellt/handelser/2024/oktober/6/06-oktober-08.02-sammanfattning-natt-vasternorrlands-lan/
2024-10-06T08:02:42+02:00,"06 oktober 08.01, Sammanfattning natt, Jämtlands län",Ett urval av polisens arbete klockan 22:00 – 07:00,Jämtlands län,/aktuellt/handelser/2024/oktober/6/06-oktober-08.01-sammanfattning-natt-jamtlands-lan/
2024-10-06T07:57:47+02:00,"06 oktober 08.00, Sammanfattning natt, Jönköpings län",Nattsammanfattning,Jönköpings län,/aktuellt/handelser/2024/oktober/6/06-oktober-08.00-sammanfattning-natt-jonkopings-lan/
2024-10-06T07:57:26+02:00,"06 oktober 08.00, Sammanfattning natt, Östergötlands län",Nattsammanfattning,Östergötlands län,/aktuellt/handelser/2024/oktober/6/06-oktober-08.00-sammanfattning-natt-ostergotlands-lan/
2024-10-06T07:56:57+02:00,"06 oktober 08.00, Sammanfattning natt, Södermanlands län",Nattsammanfattning,Södermanlands län,/aktuellt/handelser/2024/oktober/6/06-oktober-08.00-sammanfattning-natt-sodermanlands-lan/
2024-10-06T07:12:46+02:00,"06 oktober 06.00, Sammanfattning natt, Västra Götalands län",Dagens presstalesperson är på plats.,Västra Götalands län,/aktuellt/handelser/2024/oktober/6/06-oktober-06.00-sammanfattning-natt-vastra-gotalands-lan/
2024-10-06T07:12:36+02:00,"06 oktober 06.00, Sammanfattning natt, Hallands län",Dagens presstalesperson är på plats.,Hallands län,/aktuellt/handelser/2024/oktober/6/06-oktober-06.00-sammanfattning-natt-hallands-lan/
2024-10-06T06:49:43+02:00,"06 oktober 02.42, Djur, Olofström","Stöld av kattungar, Olofström.",Olofström,/aktuellt/handelser/2024/oktober/6/06-oktober-02.42-djur-olofstrom/
2024-10-06T06:40:24+02:00,"06 oktober 04.14, Inbrott, Växjö","Inbrott i villa, Öjaby.",Växjö,/aktuellt/handelser/2024/oktober/6/06-oktober-04.14-inbrott-vaxjo/
2024-10-06T06:34:14+02:00,"06 oktober 02.54, Brand, Kristianstad","Bilbrand, Kristianstad.",Kristianstad,/aktuellt/handelser/2024/oktober/6/06-oktober-02.54-brand-kristianstad/
2024-10-06T06:29:43+02:00,"06 oktober 00.51, Rattfylleri, Helsingborg","Påverkad mopedist, Helsingborg.",Helsingborg,/aktuellt/handelser/2024/oktober/6/06-oktober-00.51-rattfylleri-helsingborg/
2024-10-06T04:59:55+02:00,"05 oktober 23.50, Mord/dråp, försök, Göteborg",Försök till mord och grovt vapenbrott,Göteborg,/aktuellt/handelser/2024/oktober/5/05-oktober-23.50-morddrap-forsok-goteborg/
2024-10-05T23:49:21+02:00,"05 oktober 23.44, Trafikolycka, personskada, Smedjebacken",Trafikolycka RV66 Smedjebacken. Tre personer avlidna.,Smedjebacken,/aktuellt/handelser/2024/oktober/5/05-oktober-23.44-trafikolycka-personskada-smedjebacken/
2024-10-06T02:02:01+02:00,"06 oktober 00.47, Misshandel, Värmdö",En man misshandlar sin flickvän.,Värmdö,/aktuellt/handelser/2024/oktober/6/06-oktober-00.47-misshandel-varmdo/
2024-10-05T21:55:51+02:00,"05 oktober 21.55, Övrigt, Västra Götalands län",Efter klockan 22:00 finns ingen presstalesperson i tjänst. Frågor från media besvaras av vakthavande befäl i m,Västra Götalands län,/aktuellt/handelser/2024/oktober/5/05-oktober-21.55-ovrigt-vastra-gotalands-lan/
2024-10-05T21:55:37+02:00,"05 oktober 21.55, Övrigt, Hallands län",Efter klockan 22:00 finns ingen presstalesperson i tjänst. Frågor från media besvaras av vakthavande befäl i m,Hallands län,/aktuellt/handelser/2024/oktober/5/05-oktober-21.55-ovrigt-hallands-lan/
